 AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
